raceId,year,round,circuitId,driverId,constructorId,pit_stop_time,positionOrder,grid,points,laps,statusId
909,2014,10,10,154,208,18928.0,21,14,0.0,26,47
909,2014,10,10,155,207,20092.0,16,19,0.0,65,12
909,2014,10,10,155,207,20121.0,16,19,0.0,65,12
909,2014,10,10,155,207,20358.0,16,19,0.0,65,12
909,2014,10,10,807,10,19514.0,7,9,6.0,67,1
909,2014,10,10,807,10,19564.0,7,9,6.0,67,1
909,2014,10,10,813,208,19099.0,12,18,0.0,66,11
909,2014,10,10,813,208,19126.0,12,18,0.0,66,11
909,2014,10,10,815,10,19843.0,10,10,1.0,66,11
909,2014,10,10,815,10,19932.0,10,10,1.0,66,11
909,2014,10,10,815,10,21802.0,10,10,1.0,66,11
909,2014,10,10,817,9,18868.0,6,5,8.0,67,1
909,2014,10,10,817,9,19050.0,6,5,8.0,67,1
909,2014,10,10,817,9,19358.0,6,5,8.0,67,1
909,2014,10,10,818,5,20274.0,13,13,0.0,66,11
909,2014,10,10,818,5,20431.0,13,13,0.0,66,11
909,2014,10,10,818,5,26711.0,13,13,0.0,66,11
909,2014,10,10,820,206,20632.0,17,21,0.0,65,12
909,2014,10,10,820,206,20920.0,17,21,0.0,65,12
909,2014,10,10,820,206,23883.0,17,21,0.0,65,12
909,2014,10,10,821,15,19779.0,14,16,0.0,66,11
909,2014,10,10,821,15,21002.0,14,16,0.0,66,11
909,2014,10,10,821,15,23305.0,14,16,0.0,66,11
909,2014,10,10,822,3,20115.0,2,2,18.0,67,1
909,2014,10,10,822,3,20206.0,2,2,18.0,67,1
909,2014,10,10,824,206,20031.0,15,17,0.0,66,11
909,2014,10,10,824,206,20575.0,15,17,0.0,66,11
909,2014,10,10,825,1,19135.0,9,4,2.0,66,11
909,2014,10,10,825,1,19427.0,9,4,2.0,66,11
909,2014,10,10,825,1,25859.0,9,4,2.0,66,11
909,2014,10,10,826,5,20251.0,20,8,0.0,44,44
909,2014,10,10,826,5,20313.0,20,8,0.0,44,44
909,2014,10,10,828,207,19890.0,18,22,0.0,65,12
909,2014,10,10,828,207,20423.0,18,22,0.0,65,12
909,2014,10,10,828,207,27495.0,18,22,0.0,65,12
910,2014,11,11,1,131,23364.0,3,22,15.0,70,1
910,2014,11,11,1,131,23800.0,3,22,15.0,70,1
910,2014,11,11,3,131,22001.0,4,1,12.0,70,1
910,2014,11,11,3,131,22827.0,4,1,12.0,70,1
910,2014,11,11,3,131,23864.0,4,1,12.0,70,1
910,2014,11,11,4,6,21634.0,2,5,18.0,70,1
910,2014,11,11,4,6,22253.0,2,5,18.0,70,1
910,2014,11,11,8,6,22154.0,6,16,8.0,70,1
910,2014,11,11,8,6,23214.0,6,16,8.0,70,1
910,2014,11,11,13,3,22111.0,5,6,10.0,70,1
910,2014,11,11,13,3,22278.0,5,6,10.0,70,1
910,2014,11,11,13,3,22851.0,5,6,10.0,70,1
910,2014,11,11,16,15,22500.0,11,11,0.0,70,1
910,2014,11,11,16,15,31956.0,11,11,0.0,70,1
910,2014,11,11,18,1,22211.0,10,7,1.0,70,1
910,2014,11,11,18,1,22807.0,10,7,1.0,70,1
910,2014,11,11,18,1,26737.0,10,7,1.0,70,1
910,2014,11,11,20,9,21608.0,7,2,6.0,70,1
910,2014,11,11,20,9,22170.0,7,2,6.0,70,1
910,2014,11,11,154,208,23979.0,21,14,0.0,11,3
910,2014,11,11,155,207,34086.0,18,17,0.0,26,31
910,2014,11,11,807,10,24040.0,20,9,0.0,16,3
910,2014,11,11,813,208,21818.0,13,20,0.0,70,1
910,2014,11,11,813,208,22376.0,13,20,0.0,70,1
910,2014,11,11,813,208,32608.0,13,20,0.0,70,1
910,2014,11,11,815,10,25535.0,19,12,0.0,23,3
910,2014,11,11,817,9,22205.0,1,4,25.0,70,1
910,2014,11,11,817,9,22273.0,1,4,25.0,70,1
910,2014,11,11,817,9,23741.0,1,4,25.0,70,1
910,2014,11,11,818,5,23123.0,9,8,2.0,70,1
910,2014,11,11,818,5,23809.0,9,8,2.0,70,1
